country,name_short,partyfacts_id,name_english_x,page_id,handle,country_left,year_first,year_last,share,share_year,see_comments,data_collected,active_2010_or_after,facebook_handle_found,twitter_handle_TF,twitter_handle,D_comments,J_comments,T_comments,twitter_handle_lower,author_id
EST,EK,533,Estonian Centre Party,457439,eestikeskerakond,Estonia,1995,9999,26.1,2007,NA,TRUE,TRUE,TRUE,TRUE,keskerakondlane,NA,NA,NA,keskerakondlane,200772249
EST,EER,1040,Estonian Greens,4497321,rohelised,Estonia,2006,9999,7.1,2007,NA,TRUE,TRUE,TRUE,TRUE,estoniangreens,NA,NA,NA,estoniangreens,2719624907
EST,SDE-M,1150,Social Democratic Party -- Moderates,460610,sotsdem,Estonia,1992,9999,17.1,2011,NA,TRUE,TRUE,TRUE,TRUE,sotsdem,NA,NA,NA,sotsdem,38227056
EST,IRL,685,Union of Pro Patria and Res Publica,7518118,isamaaerakond,Estonia,2006,9999,20.5,2011,NA,TRUE,TRUE,TRUE,TRUE,Erakond,NA,NA,NA,erakond,26265110
FIN,KESK,901,Agrarian Union / Centre Party,425886,SuomenKeskusta,Finland,1927,9999,27.3,1930,NA,TRUE,TRUE,TRUE,TRUE,keskusta,NA,NA,NA,keskusta,21289183
FIN,KD,703,Christian Democrats / League,639762,kristillisdemokraatit,Finland,1958,9999,5.3,2003,NA,TRUE,TRUE,TRUE,TRUE,KDpuolue,NA,NA,NA,kdpuolue,65134133
FIN,SP/P,1689,Finns Party / True Finns,639776,perussuomalaiset,Finland,1995,9999,19.1,2011,NA,TRUE,TRUE,TRUE,TRUE,persut,NA,NA,NA,persut,393938517
FIN,VIHR,479,Green League,639543,vihreat,Finland,1983,9999,8.5,2015,NA,TRUE,TRUE,TRUE,TRUE,vihreat,NA,NA,NA,vihreat,22007737
FIN,SDP,1303,Social Democratic Party of Finland,639580,sosialidemokraatit,Finland,1899,9999,44.8,1917,NA,TRUE,TRUE,TRUE,TRUE,Demarit,NA,NA,NA,demarit,22262225
FIN,RKP/SFP,1229,Swedish People's Party of Finland,360487,sfprkp,Finland,1927,9999,12.4,1922,NA,TRUE,TRUE,TRUE,TRUE,sfprkp,NA,NA,NA,sfprkp,190362598
